,price,temps,title
0,250 €,"Aujourd'hui, 18:32",Ordinateur Lenovo ThinkPad L450 I5-5300u/ 16Go RAM / 500Go HDD
1,185 €,"Aujourd'hui, 17:48",Ordinateur Lenovo T430 i5-3320M 2.6GHz 4Go 320Gb
2,540 €,"Aujourd'hui, 17:42","Asus ZenBook / 14"" / I5 / 8go RAM / SSD + HDD"
3,450 €,"Aujourd'hui, 17:34",Ordinateur Portable Lenovo ThinkPad T470s I5-6300u/ 8Go DDR4 / 256 SSD
5,299 €,"Aujourd'hui, 17:28",Pc Portable Lenovo Thinkpad L450 i5 /4Go / 500 Go
6,299 €,"Aujourd'hui, 17:21",Pc Portable Lenovo Thinkpad L450 i5 / 4Go Paris17e
7,199 €,"Aujourd'hui, 17:20",Pc Portable Lenovo Thinkpad L440 i5 / 4Go / 500 Go
8,199 €,"Aujourd'hui, 16:59",Pc Portable Lenovo Thinkpad L440 Core i5 PARIS 17e
9,450 €,"Aujourd'hui, 16:50","Macbook Air, Macbook Pro, Promotion ( Mai )"
10,165 €,"Aujourd'hui, 16:16",Ordinateur LENOVO i3vPRO état neuf Garanti 6 mois
12,159 €,"Aujourd'hui, 16:07",Ordinateur Lenovo X230 i5 2.6GHz 4Go 160Gb W7
13,530 €,"Aujourd'hui, 15:51",Portable Lenovo x1 carbon i7
14,299 €,"Aujourd'hui, 15:33",Lenovo X250 (peu utiliser)
15,229 €,"Aujourd'hui, 14:57",Ordinateur Lenovo T440p i5-4210M 2.5GHz 4Go 320Gb
17,185 €,"Aujourd'hui, 14:51",PORTABLE LENOVO Ultra Rapide Garanti 12 mois
18,400 €,"Aujourd'hui, 14:37",Lenovo Thinkpad L470 I5/16go RAM/256go SSD
19,299 €,"Aujourd'hui, 14:33","Lenovo T450 I5-5300U 8Go 500Go 14"" W10 1.7Kg"
20,299 €,"Aujourd'hui, 14:31",PC PORTABLE LENOVO THINKPAD W430 i5 8GO RAM 320 GO
21,199 €,"Aujourd'hui, 14:31","Lenovo L440 I5-4300M 2.6Ghz 4Go 500Go 14"" W10"
22,149 €,"Aujourd'hui, 12:42",PC PORTABLE LENOVO THINKPAD X220 i5 4GO RAM 320 GO
24,159 €,"Aujourd'hui, 12:36",PC PORTABLE LENOVO THINKPAD X230 CORE i5 4GO RAM
25,149 €,"Aujourd'hui, 12:17",Ordinateur Lenovo ThinkPad T420 Core i5 Windows 10
26,129 €,"Aujourd'hui, 12:17","Ordinateur Lenovo Edge E130 Intel Core i3 11.6"" HD"
27,60 €,"Aujourd'hui, 12:07",Station d’accueil Lenovo thinkpad complet
29,229 €,"Aujourd'hui, 12:04",Pc Portable Lenovo Thinkpad T530 2.6Gh/4Go/320Go
31,690 €,"Aujourd'hui, 10:35",Lenovo thinkpad w540 garanti 1 an
32,149 €,"Aujourd'hui, 10:11",Lenovo Thinkpad L430 I3 2.4Ghz 4Go 320Go 14 W7
33,199 €,"Aujourd'hui, 10:05",Ordinateur Lenovo X240 i5-4200 2.3GHz 4Go 320Gb W7
34,650 €,"Aujourd'hui, 10:05",PC Portable Lenovo Thinkpad T470 i7 - 512gb SSD
36,155 €,"Aujourd'hui, 09:54",ULTRA PORTABLE LENOVO i3 état neuf Garanti 12 mois
37,690 €,"Aujourd'hui, 09:50",PC HP Elitebook 840 G5 i5 / 8gb / GARANTIE
38,165 €,"Aujourd'hui, 09:29",PC LENOVO i3vPRO comme neuf garanti 6 mois
39,5 €,"Aujourd'hui, 09:16",Malette pour ordinateur portable Thinkpad 45cms
40,170 €,"Aujourd'hui, 09:04",LENOVO THINKPAD X 220 CORE I5/ 8g Ram
41,550 €,"Aujourd'hui, 08:38","PC Portable Lenovo Thinkpad 14"" i7 8Go RAM 512SSD"
42,25 €,"Aujourd'hui, 08:18",Station d'accueil IBM Thinkpad 74P6733 74P6734 13R
43,800 €,"Aujourd'hui, 08:17",Lenovo Thinkpad T570 I5 72OOU 2.5/3.10ghz état neuf
44,120 €,"Aujourd'hui, 07:17",Lenovo ThinkPad T520 i5
46,690 €,"Aujourd'hui, 00:02",Lenovo Thinkpad X1 Yoga 2nd i5-7300u pc tablette
47,10 €,"Hier, 23:41",Chargeur adaptateur Lenovo portable PC
48,900 €,"Hier, 23:33",Lenovo Thinkpad p52s
49,250 €,"Hier, 23:05",LENOVO THINKPAD T 510 CORE I5 RAM 8g
50,170 €,"Hier, 22:56",LENOVO THINKPAD X 220 CORE I5/ 8g Ram
51,250 €,"Hier, 22:36",LENOVO THINKPAD T510 CORE I5 RAM 8g /HDD 500
53,20 €,"Hier, 22:34",IBM Mini-Dock 2878 10G f ThinkPad (fblo77)
54,15 €,"Hier, 22:12",Chargeur PC Lenovo AC ADAPTER 90W 4.5A 8.2*5.5
55,150 €,"Hier, 21:44",Station d'accueil ThinkPad Ultra - NEUVE - Garantie 05/2022
56,89 €,"Hier, 20:25","Lenovo T400 Core 2 Duo 2.26Ghz 2Go 160Go 14"" Win v"
58,30 €,"Hier, 20:01",Lenovo ThinkPad Dock 40A1
59,5 €,"Hier, 19:07",Lecteur DVD/graveur CD pour ordininateur portable
60,50 €,"Hier, 18:16",Batterie 70++ 9 cell Portable Lenovo T400 – T500
61,55 €,"Hier, 18:08",Clavier français Lenovo Thinkpad T440
62,300 €,"Hier, 18:06",Lenovo T450 Intel I5 - 8go ram - ssd 240Go
63,270 €,"Hier, 18:04",Lenovo L460 Intel I5 - 8go ram - ssd 256go + 500go
